RECORD_TYPE,SEQUENCE_NO,MSC_ID,CALLING_NUMBER,CALLED_NUMBER,IMSI,IMEI,CALL_START_TIME,CALL_END_TIME,DURATION_SEC,CELL_ID_START,CELL_ID_END,DISCONNECT_CAUSE,ROAMING_FLAG,CALL_DIRECTION,CHARGE_AMOUNT
VOICE,CDR000012,MSC-CAI-01,201541496387,201037990422,602373505194234,673741196521583,1778038816,1778040556,1740,399-1-8905,331-5-7209,NORMAL_CLEARING,0,MT,1.4643
VOICE,CDR000013,MSC-CAI-01,201528286173,201198943664,602183203790482,614884271562649,1778057725,1778058905,1180,431-7-4010,196-2-7459,NORMAL_CLEARING,0,MO,1.3618
VOICE,CDR000014,MSC-ALX-01,201590528545,201502405415,602755185482171,274401383902966,1777986246,1777987557,1311,88-4-3920,129-8-4010,NORMAL_CLEARING,0,MT,2.1496
VOICE,CDR000015,MSC-ALX-01,201043145563,201032182394,602648337103637,038307996616812,1778051125,1778051442,317,379-8-4314,30-6-3910,NO_ANSWER,0,MT,1.8668
VOICE,CDR000016,MSC-CAI-01,201099475624,201526827816,602341582970237,886100266833436,1778021777,1778022747,970,80-6-2065,484-9-4732,NORMAL_CLEARING,1,MO,1.7499
VOICE,CDR000017,MSC-ALX-01,201555880263,201096681207,602979700189435,735510333805856,1778044817,1778045213,396,75-5-4873,68-5-9585,NORMAL_CLEARING,1,MO,0.1746
SMS,CDR000018,MSC-CAI-01,201299910963,201508645485,602626921506310,987881298056004,1778026515,1778026516,0,182-9-6851,70-5-9627,USER_BUSY,0,MT,0.0964
VOICE,CDR000019,MSC-ALX-01,201235402967,201013218358,602128897840957,005325514131446,1778016417,1778017683,1266,20-8-4638,191-8-1050,NO_ANSWER,0,MO,0.8779
VOICE,CDR000020,MSC-CAI-02,201149725401,201167831995,602458942441707,861306924088591,1778014521,1778015040,519,495-7-9465,303-5-1513,NORMAL_CLEARING,0,MT,1.7939
VOICE,CDR000021,MSC-CAI-02,201035810093,201229412455,602746324837466,185525914645562,1778009705,1778010772,1067,498-8-5008,389-7-9658,NORMAL_CLEARING,0,MT,0.8126
VOICE,CDR000022,MSC-CAI-01,201086126890,201054854185,602152273039330,637444429420381,1778031733,1778031998,265,487-5-1927,288-9-9929,NORMAL_CLEARING,0,MT,1.2873
SMS,CDR000023,MSC-CAI-01,201544521899,201176813364,602120725923794,146740984673915,1778017260,1778017261,0,197-8-7903,341-4-5373,NORMAL_CLEARING,0,MO,0.0603
VOICE,CDR000024,MSC-ALX-01,201021742900,201143348231,602151616974442,959668917584444,1778008020,1778008304,284,31-9-1037,116-5-9015,NORMAL_CLEARING,0,MT,2.1705
VOICE,CDR000025,MSC-CAI-02,201196182539,201275324238,602536739062132,969764174682468,1777986664,1777988311,1647,468-6-7330,65-9-6165,NORMAL_CLEARING,1,MO,2.4458
SMS,CDR000026,MSC-CAI-01,201073067378,201107756692,602220207467636,815482802142283,1778011469,1778011470,0,380-5-1919,427-4-7954,USER_BUSY,0,MO,0.0607
SMS,CDR000027,MSC-CAI-01,201207913045,201509679149,602060750609562,841542328013516,1777996118,1777996119,0,201-4-5922,410-2-7100,NO_ANSWER,0,MT,0.0371
VOICE,CDR000028,MSC-CAI-02,201242312235,201007552760,602070575081117,859990636086855,1778004835,1778006287,1452,22-9-7950,364-1-2128,NORMAL_CLEARING,0,MT,0.4033
VOICE,CDR000029,MSC-ALX-01,201063501447,201007639567,602005004496915,016721665802966,1778001982,1778002237,255,328-10-8864,298-1-3938,USER_BUSY,1,MT,1.6196
VOICE,CDR000030,MSC-ALX-01,201581328404,201587987350,602029534923942,724107608811188,1778044868,1778045669,801,432-7-9972,79-10-6142,NO_ANSWER,0,MT,1.1422
VOICE,CDR000031,MSC-ALX-01,201509138372,201028922873,602101403916498,488856671710508,1778018347,1778018753,406,127-2-5743,386-8-5944,USER_BUSY,1,MO,1.7288
VOICE,CDR000032,MSC-CAI-01,201030590666,201099629312,602640147679748,897889806690654,1777985805,1777986962,1157,462-8-1791,376-2-4300,NORMAL_CLEARING,1,MO,0.4387
VOICE,CDR000033,MSC-ALX-01,201250464581,201033157985,602878537637033,327198026222849,1778023291,1778023589,298,497-7-1198,223-8-2952,NORMAL_CLEARING,1,MO,1.016
VOICE,CDR000034,MSC-CAI-01,201512292462,201081850496,602714237600242,925193723731974,1778066142,1778067191,1049,306-6-9024,308-7-6660,NORMAL_CLEARING,0,MT,2.2238
VOICE,CDR000035,MSC-ALX-01,201061217656,201090149633,602935596826023,077656275618362,1778068848,1778069812,964,498-9-3606,421-5-4278,NO_ANSWER,0,MT,0.3561
VOICE,CDR000036,MSC-CAI-01,201174676236,201501811703,602248418702182,614860415910931,1778034701,1778036280,1579,233-10-4361,206-6-7978,NORMAL_CLEARING,0,MO,0.6189
SMS,CDR000037,MSC-CAI-02,201525391165,201288905253,602327746374841,911898599800518,1778039687,1778039688,0,223-9-5444,45-8-2429,NO_ANSWER,1,MT,0.0234
VOICE,CDR000038,MSC-CAI-01,201078484285,201128072209,602558097878550,183829529404801,1778030833,1778031946,1113,244-7-6567,330-2-9022,NORMAL_CLEARING,0,MT,2.4719
SMS,CDR000039,MSC-CAI-02,201214498946,201574114297,602726498334328,672221025469331,1778044506,1778044507,0,112-3-2521,492-2-8828,NORMAL_CLEARING,0,MO,0.0329
SMS,CDR000040,MSC-CAI-02,201217341365,201041624006,602932315632721,956324435169320,1778049830,1778049831,0,218-4-1521,16-9-1668,NORMAL_CLEARING,0,MO,0.0807
VOICE,CDR000041,MSC-CAI-02,201164611400,201536164025,602983874328691,001989434275380,1778052791,1778053514,723,338-4-1065,64-5-4077,NO_ANSWER,1,MO,1.5379
VOICE,CDR000042,MSC-ALX-01,201571086882,201016226082,602645177203422,206434024946808,1778014507,1778014562,55,333-1-7281,70-3-3639,NORMAL_CLEARING,0,MO,0.8332
VOICE,CDR000043,MSC-ALX-01,201592109975,201095644053,602742646358450,763794090046088,1777990663,1777990798,135,302-8-5433,332-10-3944,USER_BUSY,0,MT,1.4836
SMS,CDR000044,MSC-CAI-02,201056882311,201056522507,602338014283430,805159654095151,1778014709,1778014710,0,161-5-9951,372-7-2298,USER_BUSY,0,MT,0.0871
SMS,CDR000045,MSC-CAI-02,201296493241,201042180787,602197227847122,059911058628693,1778058230,1778058231,0,251-9-7976,229-2-1972,NO_ANSWER,1,MO,0.054
VOICE,CDR000046,MSC-CAI-01,201092864494,201112860793,602334582610854,315504378611841,1778067176,1778068474,1298,9-3-3686,105-6-5694,NORMAL_CLEARING,0,MT,0.9702
VOICE,CDR000047,MSC-CAI-02,201111037952,201182608997,602288741552108,159935862881184,1778004806,1778005947,1141,169-8-2474,446-6-6963,USER_BUSY,0,MT,0.4301
VOICE,CDR000048,MSC-ALX-01,201050007799,201522677965,602292046136174,625099786225001,1778038743,1778039617,874,440-7-9611,75-7-8896,NORMAL_CLEARING,0,MT,0.5213
VOICE,CDR000049,MSC-CAI-02,201064938148,201002352813,602947844923778,322449516329491,1778052623,1778053944,1321,354-2-7792,242-10-7621,NORMAL_CLEARING,1,MT,1.2592
SMS,CDR000050,MSC-ALX-01,201151308356,201078320052,602635616927210,940584470842914,1777983862,1777983863,0,220-1-7452,35-3-9817,USER_BUSY,0,MT,0.046
